,Classe,ID_bat
0,Comercial,69ad3b9d-8ad5-4f88-b22a-610ff44267d8
1,Comercial,d68b31ba-e0b4-4733-a454-a7716b05c410
2,Comercial,c157cc80-868e-409f-8621-b179b46b02b5
3,Comercial,412941e2-8e25-4d89-8baa-cbd244aec7ef
4,Comercial,458f56d3-3b2d-4b76-8e37-5011b2109066
5,Comercial,de1c2710-f5ad-483b-b703-67c9dd4604d7
6,Comercial,e4541025-2c60-4081-a5f8-ca78a53645a2
7,Comercial,86fe49b6-c27a-4650-8182-20e36c229cd7
8,Comercial,b3287029-2fa5-4114-b0d9-bec3b1565b7b
9,Comercial,c5f1e1a0-51f6-41a2-9c09-eca634ddbcc8
10,Comercial,41945b10-77ab-4fc1-a09f-d0485e33e3c9
11,Cabanon/Garage,284c5714-1216-4985-8fa6-b75e46e4b13e
12,Comercial,58f7efd2-b153-41bb-beea-657f326e0734
13,Comercial,79a169a4-2c8f-478a-ada6-3526f3123a81
14,Comercial,c9c27d2b-2400-495a-a1af-5813cdbb0590
15,Comercial,7727162a-c0dc-430f-b6c7-c970b60c533c
16,Comercial,fff028dc-e268-4a2f-8903-9bc6058af702
17,Comercial,4d7d4c89-38e4-4ea2-a314-21ec7dcacf13
18,Comercial,592b6e22-7605-4617-bb21-ad9d32e2b3af
19,Comercial,ce26b040-edd9-4d8b-a88d-f5cd1343fb28
20,Comercial,29aa8682-da4d-48dd-9779-02a42a9fc1e3
21,Comercial,c4286c2d-fa71-486f-8aad-21c7c32aba01
22,Comercial,759f2ef5-a64c-402e-a863-f1fea4eebde3
23,Cabanon/Garage,c1a6461d-4b8b-4cd8-a902-251e8a59b329
24,Comercial,5397e30e-2852-46af-9016-f0a981100d69
25,Comercial,21e742f3-204a-4676-b323-1e2c3327df7a
26,Comercial,584a0947-1251-4bc7-b5e6-6e2a2193e899
27,Comercial,a4d31c1e-06d8-4ae6-8d02-8b137d9a8943
28,Comercial,2aa241a2-ccb5-4683-b760-cfdac5b4e02b
29,Comercial,c3af2cda-ddb7-46ad-a002-418de0fec52b
30,Comercial,aa94f965-9657-4b4e-9a47-cd8a221ce7ea
31,Comercial,b4a1bc79-5b02-428c-8349-5b8e505136cd
