Unnamed: 0,id_batiment,distRout,surface,D,I,R,C,O,nbBatimentDansLaParcelle,Surfaceparcelle,ZONEindustrielle,rt_generic,perimetre,cls_foncti,alignement,ZONEinstitutionelle,Sommet,densiter,nbAdressDansParcelle,densiterProche,elongement,categAdr,categPred,distAdrCentroid,densitertresProche,desc_usage,surfaceAutreBatiment
0,3692717,21.160148521895515,156.71648666433146,0,0,1,0,0,2,650.6754211977508,0.0216666666666666,Rue,52.81866092969534,Non MTQ,0.0240873280166006,0.0183333333333333,14,416,1,7,0.5172419530892709,R,R,4.745456043396811,1,Résidentiel,156.71648666433146
1,3603301,37.90823145028386,95.96033382577616,0,0,1,0,0,2,2499.421348684909,0.0468085106382978,Rue,39.99076298569359,Non MTQ,0.0119045377012322,0.0,11,78,1,3,0.6666616169246279,R,cabanon,9.5088576565165,2,Résidentiel,95.96033382577616
2,3637105,28.77231828811084,208.769095211671,0,0,1,0,0,1,4498.500661504647,0.1260504201680672,Rue,64.7925777587381,Non MTQ,0.0365863305469029,0.0,17,90,1,1,0.8947391230471567,R,R,20.49467515326253,1,Résidentiel,208.769095211671
3,3595975,19.032919514248448,99.94142267459029,0,0,1,0,0,1,832.8839197839733,0.011182108626198,Rue,39.98729490573277,Non MTQ,1.5931978645811895,0.0063897763578274,21,460,1,13,0.9999839646893852,R,R,7.983250030385532,1,Résidentiel,99.94142267459029
4,3646654,28.136525741606405,94.00574418119602,1,0,0,0,0,3,10000.0,0.0560747663551401,Rang,38.80029139785819,Local_2 (MTQ),2.382368815948383,0.0093457943925233,10,86,1,2,0.9399944100447662,D,a,18.870060786621693,1,Forestier,94.00574418119602
5,3662089,1.794618806867323,48.14978535720381,1,0,0,0,0,3,10000.0,0.1578947368421052,Chemin,27.690470739481626,Non MTQ,0.0593295868060025,0.0,12,55,1,5,0.5405959900620211,R,a,21.7930561041356,1,Forestier,48.14978535720381
6,3685844,14.607183432286885,128.5471039031141,0,0,1,0,0,1,1045.613968709374,0.0387596899224806,Rue,45.449517783637006,Local_3 (MTQ),1.5913713037175914,0.0155038759689922,7,203,1,10,0.8730069316019065,R,R,9.339129163583518,1,Résidentiel,128.5471039031141
7,3696785,23.139567932157085,75.37631714199851,0,0,0,0,0,1,696.3842253450512,0.0070140280561122,Route,35.07571332646967,Collectrice (MTQ),1.5702971559888823,0.0040080160320641,9,608,0,6,0.7526740766160295,C,Indus,5.245309565016288,2,Commercial,75.37631714199851
8,3600062,27.50518360247411,120.90700646829475,0,0,0,2,0,2,6432.414551910111,0.0150300601202404,Avenue,47.69864681424703,Non MTQ,1.9364866727144547,0.0070140280561122,45,309,2,4,0.5948871626824058,R,a,26.594859537532813,1,Commercial,120.90700646829475
9,3629435,68.90143104081942,137.40139477357073,0,0,2,0,0,2,2171.5667289234857,0.0064102564102564,Avenue,50.52697116276581,Non MTQ,1.5388360352441,0.0092592592592592,9,872,2,6,0.456310274517246,R,a,20.00238394958724,1,Résidentiel,137.40139477357073
